Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.036238182	2.122522092	785.6	7856.3
2	Spectrogram 1	1	3.220212933	3.567064104	890.4	6494.5
3	Spectrogram 1	1	3.660248001	6.377805116	314.3	6861.2
6	Spectrogram 1	1	6.641826157	7.009384861	314.3	7175.4
7	Spectrogram 1	1	7.319997850	7.423535513	628.5	4975.7
8	Spectrogram 1	1	7.708264086	7.879101230	2199.8	5342.3
9	Spectrogram 1	1	8.478622566	12.366461814	733.3	7175.4
10	Spectrogram 1	1	12.620167859	13.189625006	4294.8	13251.0
11	Spectrogram 1	1	13.363050591	15.985141908	838.0	7437.3
12	Spectrogram 1	1	16.411793916	16.913951582	890.4	4713.8
13	Spectrogram 1	1	18.518899480	18.901988833	890.4	2671.1
14	Spectrogram 1	1	19.015880262	19.331670135	1361.8	2147.4
15	Spectrogram 1	1	19.445561564	19.704405722	1099.9	1990.3
16	Spectrogram 1	1	17.074434960	17.633538340	1152.3	4556.7
17	Spectrogram 1	1	17.814729250	18.032158343	1204.6	3928.1
18	Spectrogram 1	1	19.783362668	20.150921372	785.6	1780.8
19	Spectrogram 1	1	20.244105269	20.332112282	523.8	1309.4
20	Spectrogram 1	1	20.435649945	20.580602674	523.8	1937.9
21	Spectrogram 1	1	20.710024752	20.968868910	628.5	1728.4
22	Spectrogram 1	1	21.124175405	21.357135146	942.8	2095.0
23	Spectrogram 1	1	21.610802421	25.576294915	576.1	6861.2
24	Spectrogram 1	1	25.733289191	26.023194647	1152.3	4923.3
25	Spectrogram 1	1	26.406284000	27.208700889	628.5	6704.0
26	Spectrogram 1	1	27.922573892	29.128787666	890.4	4766.2
27	Spectrogram 1	1	29.361747408	29.636122215	785.6	2775.9
28	Spectrogram 1	1	29.729306112	29.931204555	995.1	3142.5
29	Spectrogram 1	1	31.443545056	31.764511811	838.0	3718.6
30	Spectrogram 1	1	32.204546879	32.520336751	680.9	4085.3
31	Spectrogram 1	1	33.270984808	34.487552349	628.5	5761.3
32	Spectrogram 1	1	36.009212878	36.449247946	576.1	1885.5
33	Spectrogram 1	1	36.485486128	36.770214701	576.1	1990.3
34	Spectrogram 1	1	36.801276000	36.899636780	628.5	1571.3
35	Spectrogram 1	1	36.889283014	37.567454707	471.4	1728.4
36	Spectrogram 1	1	37.614046655	39.198172900	733.3	1885.5
37	Spectrogram 1	1	39.234411082	39.669269266	628.5	2514.0
38	Spectrogram 1	1	39.719846806	41.065836425	261.9	2514.0
39	Spectrogram 1	1	44.015354031	45.009315596	471.4	4032.9
40	Spectrogram 1	1	45.438996898	45.863501317	209.5	1571.3
41	Spectrogram 1	1	45.992923395	46.365658982	261.9	1309.4
42	Spectrogram 1	1	46.505434827	46.759102102	261.9	1361.8
43	Spectrogram 1	1	46.790163401	47.054184442	523.8	1937.9
44	Spectrogram 1	1	47.126660806	47.841070681	523.8	2095.0
45	Spectrogram 1	1	47.929077694	48.959277441	471.4	1937.9
46	Spectrogram 1	1	49.006177265	49.296082721	261.9	2095.0
47	Spectrogram 1	1	49.342674670	50.005315713	314.3	1833.1
48	Spectrogram 1	1	50.114030259	50.911270265	419.0	2147.4
