Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Comment
1	Spectrogram 1	1	0.172492584	0.388108313	0.000	8370.370	0.2156	
2	Spectrogram 1	1	0.790591009	0.999019547	0.000	8518.519	0.2084	
4	Spectrogram 1	1	1.387127861	1.602743591	0.000	8592.593	0.2156	
5	Spectrogram 1	1	1.868669657	2.184906061	0.000	8148.148	0.3162	
6	Spectrogram 1	1	2.594575947	2.781442913	0.000	8222.222	0.1869	
7	Spectrogram 1	1	3.191112799	3.363605383	0.000	8444.444	0.1725	
8	Spectrogram 1	1	3.758900887	3.931393471	0.000	8296.296	0.1725	
9	Spectrogram 1	1	4.369812121	4.549491896	0.000	8296.296	0.1797	
10	Spectrogram 1	1	4.930413018	5.059782456	0.000	6666.667	0.1294	
11	Spectrogram 1	1	5.476639533	5.606008971	0.000	6666.667	0.1294	
12	Spectrogram 1	1	6.001304476	6.303166497	0.000	6518.519	0.3019	
13	Spectrogram 1	1	6.511595036	6.878141776	0.000	7925.926	0.3665	
14	Spectrogram 1	1	6.994296056	7.454276279	0.000	8000.000	0.4600	
15	Spectrogram 1	1	7.490212234	7.921443693	0.000	8074.074	0.4312	
16	Spectrogram 1	1	7.970139755	8.376708674	0.000	8074.074	0.4066	
17	Spectrogram 1	1	8.417365566	8.808688150	0.000	8296.296	0.3913	
18	Spectrogram 1	1	8.869673488	9.311817187	0.000	8518.519	0.4421	
19	Spectrogram 1	1	9.347391968	9.799699890	0.000	8666.667	0.4523	
20	Spectrogram 1	1	9.830192559	10.312993150	0.000	8666.667	0.4828	
22	Spectrogram 1	1	10.328399882	10.785789915	0.000	8666.667	0.4574	
23	Spectrogram 1	1	10.780707804	11.258426283	0.000	9037.037	0.4777	
24	Spectrogram 1	1	11.258426283	11.741226875	0.000	9185.185	0.4828	
25	Spectrogram 1	1	11.735941666	12.193331699	0.000	9111.111	0.4574	
26	Spectrogram 1	1	12.193331699	12.691378625	0.000	8888.889	0.4980	
28	Spectrogram 1	1	12.701542848	13.169097105	0.000	9037.037	0.4676	
29	Spectrogram 1	1	13.174179216	13.667144030	0.000	9185.185	0.4930	
