Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Comment
1	Spectrogram 1	1	0.063993588	0.302902983	1088.889	6397.222	0.2389	
2	Spectrogram 1	1	0.324234179	0.465020072	1156.944	6329.167	0.1408	
3	Spectrogram 1	1	0.537546138	0.657000835	1088.889	5920.833	0.1195	
4	Spectrogram 1	1	0.784988011	0.985501253	1088.889	5784.722	0.2005	
5	Spectrogram 1	1	1.045228602	1.241475605	1020.833	5988.889	0.1962	
6	Spectrogram 1	1	1.339599106	1.505982434	884.722	5512.500	0.1664	
7	Spectrogram 1	1	1.565709783	1.740625590	1293.056	6125.000	0.1749	
8	Spectrogram 1	1	1.843015331	2.013664898	1565.278	6056.944	0.1706	
9	Spectrogram 1	1	2.141652074	2.342165316	1225.000	5580.556	0.2005	
10	Spectrogram 1	1	2.410425143	2.572542232	1225.000	5580.556	0.1621	
11	Spectrogram 1	1	2.760256757	2.901042650	1225.000	5920.833	0.1408	
12	Spectrogram 1	1	2.939438803	3.097289653	1020.833	5920.833	0.1579	
13	Spectrogram 1	1	3.152750762	3.306335373	1497.222	5648.611	0.1536	
14	Spectrogram 1	1	3.421523831	3.579374681	1225.000	6056.944	0.1579	
15	Spectrogram 1	1	3.668965704	3.805485358	1156.944	5784.722	0.1365	
16	Spectrogram 1	1	3.907875099	4.082790906	1020.833	5648.611	0.1749	
17	Spectrogram 1	1	4.230870779	4.439916499	1088.889	5852.778	0.2090	
18	Spectrogram 1	1	4.474046413	4.653228459	1293.056	5988.889	0.1792	
19	Spectrogram 1	1	4.694148778	4.947550457	1293.056	6601.389	0.2534	
20	Spectrogram 1	1	4.950567144	5.306536170	1156.944	6533.333	0.3560	
21	Spectrogram 1	1	5.303519483	5.587088030	1156.944	6669.444	0.2836	
22	Spectrogram 1	1	5.581054656	5.846523083	1156.944	6465.278	0.2655	
23	Spectrogram 1	1	5.846441042	6.172243201	1156.944	7009.722	0.3258	
24	Spectrogram 1	1	6.317044161	6.473911867	1088.889	6056.944	0.1569	
25	Spectrogram 1	1	6.609662767	6.754463727	1225.000	5852.778	0.1448	
26	Spectrogram 1	1	6.866081133	7.041048960	1020.833	5852.778	0.1750	
27	Spectrogram 1	1	7.086299260	7.285400579	1156.944	5852.778	0.1991	
28	Spectrogram 1	1	7.359860909	7.586112409	1361.111	6125.000	0.2263	
29	Spectrogram 1	1	7.616279275	7.851580835	1293.056	5920.833	0.2353	
30	Spectrogram 1	1	7.891165073	8.126466632	1020.833	5852.778	0.2353	
31	Spectrogram 1	1	8.171716932	8.407018492	1225.000	5988.889	0.2353	
32	Spectrogram 1	1	8.407018492	8.743892765	1225.000	6805.556	0.3369	
33	Spectrogram 1	1	8.737859391	8.888693724	1156.944	6873.611	0.1508	
34	Spectrogram 1	1	8.960319001	9.110003122	1213.761	5731.651	0.1497	
35	Spectrogram 1	1	9.264223125	9.395763716	1416.055	5731.651	0.1315	
36	Spectrogram 1	1	9.504275624	9.658495628	1348.624	5799.083	0.1542	
37	Spectrogram 1	1	9.731069747	9.885289751	1213.761	4922.477	0.1542	
39	Spectrogram 1	1	10.039509754	10.193729758	1281.193	5057.339	0.1542	
40	Spectrogram 1	1	10.284447407	10.429595645	1146.330	5529.358	0.1451	
41	Spectrogram 1	1	10.606495061	10.774322712	1213.761	5933.945	0.1678	
42	Spectrogram 1	1	10.937614480	11.137193308	1348.624	6001.376	0.1996	
43	Spectrogram 1	1	11.259662135	11.468312727	1348.624	6810.550	0.2087	
44	Spectrogram 1	1	11.555653083	11.782447205	1281.193	6945.413	0.2268	
45	Spectrogram 1	1	12.000169563	12.149853684	1281.193	6068.807	0.1497	
46	Spectrogram 1	1	12.186140744	12.431078396	1348.624	6405.963	0.2449	
47	Spectrogram 1	1	12.517260163	12.730446638	1281.193	6001.376	0.2132	
