Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Comment
1	Spectrogram 1	1	0.593967418	1.207095075	1054.861	10038.194	0.6131	
2	Spectrogram 1	1	1.839382971	2.414190149	1054.861	10344.444	0.5748	
3	Spectrogram 1	1	3.065638285	3.659605702	1122.917	10004.167	0.5940	
4	Spectrogram 1	1	4.061970727	4.713418863	1088.889	9834.028	0.6514	
5	Spectrogram 1	1	5.690591066	6.361199441	1259.028	9629.861	0.6706	
6	Spectrogram 1	1	7.089288533	7.721576430	1225.000	10208.333	0.6323	
7	Spectrogram 1	1	8.373024565	9.139434136	2143.750	9153.472	0.7664	
8	Spectrogram 1	1	10.154926818	10.787214714	1190.972	9459.722	0.6323	
9	Spectrogram 1	1	11.687745960	12.415835053	1156.944	9221.528	0.7281	
10	Spectrogram 1	1	13.584609649	14.293538502	1156.944	10310.417	0.7089	
11	Spectrogram 1	1	15.021627595	15.692235970	1225.000	9561.806	0.6706	
12	Spectrogram 1	1	16.496966019	17.167574394	1225.000	9119.444	0.6706	
13	Spectrogram 1	1	18.338040831	19.085290163	1259.028	9561.806	0.7472	
14	Spectrogram 1	1	19.928340691	20.637269545	1225.000	9970.139	0.7089	
15	Spectrogram 1	1	21.365358637	22.074287491	1088.889	9527.778	0.7089	
16	Spectrogram 1	1	22.859857301	23.530465676	1190.972	9425.694	0.6706	
17	Spectrogram 1	1	24.354355965	24.986643861	1122.917	9697.917	0.6323	
18	Spectrogram 1	1	25.733893193	26.385341328	1122.917	9391.667	0.6514	
19	Spectrogram 1	1	27.285872575	27.956480949	1156.944	9357.639	0.6706	
20	Spectrogram 1	1	29.398896390	30.050344526	1122.917	9527.778	0.6514	
21	Spectrogram 1	1	30.931715533	31.640644386	1225.000	9119.444	0.7089	
22	Spectrogram 1	1	32.598656350	33.230944246	1190.972	9289.583	0.6323	
23	Spectrogram 1	1	34.284757407	34.974526021	1156.944	9051.389	0.6898	
24	Spectrogram 1	1	37.005511384	37.714440238	1147.663	11151.830	0.7089	
25	Spectrogram 1	1	38.825734116	39.553823208	1124.462	9291.129	0.7281	
26	Spectrogram 1	1	40.301072540	40.990841154	1192.518	9665.435	0.6898	
27	Spectrogram 1	1	41.883442300	42.573210914	1124.462	9495.296	0.6898	
28	Spectrogram 1	1	43.799466228	44.355113167	1260.573	9291.129	0.5556	
29	Spectrogram 1	1	41.327795361	41.730160386	818.212	2553.629	0.4024	Human voice
30	Spectrogram 1	1	45.887932310	46.501059967	1158.490	10345.990	0.6131	
31	Spectrogram 1	1	46.626889168	47.105895149	852.240	2961.962	0.4790	Human voice
32	Spectrogram 1	1	47.757343285	48.389631181	1158.490	10209.879	0.6323	
33	Spectrogram 1	1	49.596726256	52.155024679	682.101	3064.046	2.5583	
34	Spectrogram 1	1	53.093876404	53.611202865	1260.573	9325.157	0.5173	
35	Spectrogram 1	1	55.222112461	55.720278682	1362.657	9393.212	0.4982	
