Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Comment
1	Spectrogram 1	1	1.354961277	1.813899774	1221.837	5684.199	0.4589	
2	Spectrogram 1	1	4.589384971	4.960906612	1328.084	8234.120	0.3715	
3	Spectrogram 1	1	6.840369029	7.168182241	1142.152	9907.506	0.3278	
4	Spectrogram 1	1	9.113207301	9.441020513	1274.961	6799.789	0.3278	
5	Spectrogram 1	1	11.932400926	12.238359924	1407.769	7756.010	0.3060	
6	Spectrogram 1	1	13.899280199	14.248947626	1434.331	9243.464	0.3497	
7	Spectrogram 1	1	16.521785897	16.827744895	1248.399	9721.574	0.3060	
8	Spectrogram 1	1	17.723767676	18.029726674	1514.016	10040.314	0.3060	
9	Spectrogram 1	1	20.013567816	20.341381028	1354.646	4170.183	0.3278	
10	Spectrogram 1	1	21.958592875	22.330114515	1328.084	6241.994	0.3715	
11	Spectrogram 1	1	24.384410646	24.690369644	1142.152	6693.543	0.3060	
12	Spectrogram 1	1	25.783080351	26.089039349	1274.961	5843.569	0.3060	
13	Spectrogram 1	1	27.902939124	28.230752336	1221.837	10757.479	0.3278	
14	Spectrogram 1	1	29.979089468	30.328756894	1168.714	8074.750	0.3497	
15	Spectrogram 1	1	31.159217032	31.443321816	1301.522	7251.338	0.2841	
16	Spectrogram 1	1	32.404907239	32.689012023	1089.029	4595.170	0.2841	
17	Spectrogram 1	1	34.874433438	35.158538222	982.782	10491.862	0.2841	
18	Spectrogram 1	1	36.010852573	36.316811571	1195.275	5949.816	0.3060	
19	Spectrogram 1	1	37.781043920	38.130711346	1142.152	5418.582	0.3497	
20	Spectrogram 1	1	39.573089480	39.813485835	1168.714	5976.377	0.2404	
21	Spectrogram 1	1	40.590009553	40.786697480	1992.126	9296.587	0.1967	
22	Spectrogram 1	1	42.447617755	42.731722539	1062.467	3612.388	0.2841	
23	Spectrogram 1	1	44.327080172	44.611184956	1274.961	8260.682	0.2841	
24	Spectrogram 1	1	45.397936666	45.660187236	1089.029	10651.233	0.2623	
25	Spectrogram 1	1	45.813166735	46.162834161	1248.399	8659.107	0.3497	
26	Spectrogram 1	1	46.337667874	46.665481086	1274.961	10465.301	0.3278	
27	Spectrogram 1	1	52.631681549	52.850223691	690.604	10863.726	0.2185	
28	Spectrogram 1	1	49.637654211	49.921758995	1035.905	7649.763	0.2841	
29	Spectrogram 1	1	51.189303415	51.473408199	1142.152	8765.353	0.2841	
30	Spectrogram 1	1	59.740121025	60.111642666	1195.275	11129.343	0.3715	
31	Spectrogram 1	1	62.668585721	62.974544720	1115.590	13068.345	0.3060	
32	Spectrogram 1	1	64.788444494	65.159966135	1301.522	10385.616	0.3715	
33	Spectrogram 1	1	70.809754491	71.137567703	1195.275	14396.429	0.3278	
34	Spectrogram 1	1	73.781927615	74.066032399	1274.961	11023.096	0.2841	
35	Spectrogram 1	1	88.561462305	88.889275517	1354.646	11527.768	0.3278	
36	Spectrogram 1	1	95.860769831	96.101166186	1195.275	12191.810	0.2404	
37	Spectrogram 1	1	101.040218584	101.324323368	1673.386	11155.904	0.2841	
38	Spectrogram 1	1	106.656751621	107.618337043	292.178	6241.994	0.9616	Human voice
39	Spectrogram 1	1	108.012374383	108.230916524	1168.714	10305.931	0.2185	
40	Spectrogram 1	1	109.105085090	109.367335660	1965.564	10252.807	0.2623	
41	Spectrogram 1	1	109.957399442	110.219650012	1567.139	10013.752	0.2623	
42	Spectrogram 1	1	110.722296937	111.006401721	1673.386	10013.752	0.2841	
43	Spectrogram 1	1	111.967987144	112.273946142	1965.564	10890.288	0.3060	
44	Spectrogram 1	1	113.891157989	114.197116987	2549.921	10730.918	0.3060	
45	Spectrogram 1	1	115.879891477	116.142142046	2124.934	10465.301	0.2623	
46	Spectrogram 1	1	116.513813876	117.453545084	239.055	6985.721	0.9397	Car noise
47	Spectrogram 1	1	117.829170355	118.114252165	1089.353	15626.576	0.2851	
48	Spectrogram 1	1	118.847319677	119.173127460	1314.736	2591.908	0.3258	
49	Spectrogram 1	1	120.802166376	121.148337145	1277.172	20585.009	0.3462	
50	Spectrogram 1	1	122.797739048	123.286450722	1277.172	15889.523	0.4887	
51	Spectrogram 1	1	128.906634981	129.232442765	1089.353	15175.809	0.3258	
52	Spectrogram 1	1	133.488306932	133.732662769	1389.864	17842.845	0.2444	
53	Spectrogram 1	1	129.339546972	129.339546972	2516.780	2516.780	0.0000	
54	Spectrogram 1	1	137.454435430	137.861695159	1202.044	4620.358	0.4073	
55	Spectrogram 1	1	137.820969186	138.126413983	1427.428	15250.937	0.3054	
56	Spectrogram 1	1	140.590335343	140.956869099	1202.044	15025.554	0.3665	
57	Spectrogram 1	1	143.929865120	144.418576794	1277.172	16077.342	0.4887	
58	Spectrogram 1	1	146.526727487	146.893261243	1164.480	14349.404	0.3665	
59	Spectrogram 1	1	147.789232647	148.237218349	1915.758	13260.051	0.4480	
60	Spectrogram 1	1	150.787804655	151.072886465	1352.300	16528.109	0.2851	
61	Spectrogram 1	1	151.317242303	151.602324113	3080.239	15025.554	0.2851	
62	Spectrogram 1	1	153.211000042	153.577533798	1164.480	15363.629	0.3665	
63	Spectrogram 1	1	155.532380497	155.837825294	1126.917	15476.320	0.3054	
64	Spectrogram 1	1	157.751946020	158.016664843	1314.736	15100.681	0.2647	
65	Spectrogram 1	1	161.091475797	161.335831634	1389.864	17016.440	0.2444	
66	Spectrogram 1	1	166.121133449	166.426578246	1164.480	15927.087	0.3054	
67	Spectrogram 1	1	167.485453541	167.750172365	1126.917	13485.434	0.2647	
68	Spectrogram 1	1	170.987887210	171.211880061	1277.172	14386.968	0.2240	
69	Spectrogram 1	1	180.085545498	180.329901336	1389.864	11231.601	0.2444	
