Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Comment
1	Spectrogram 1	1	0.217422583	0.665057312	1652.811	4282.283	0.4476	
2	Spectrogram 1	1	1.475063011	1.986645559	1709.157	4282.283	0.5116	
3	Spectrogram 1	1	3.214443672	3.708973468	1859.412	4301.065	0.4945	
4	Spectrogram 1	1	2.950126023	3.248549176	2084.796	2817.291	0.2984	
5	Spectrogram 1	1	1.381272878	1.645590527	2328.961	2873.637	0.2643	
6	Spectrogram 1	1	3.922132863	4.118239506	2253.833	2723.382	0.1961	
7	Spectrogram 1	1	6.795521504	7.128050160	2404.089	3061.457	0.3325	
8	Spectrogram 1	1	7.776054720	8.040372369	1972.104	2742.164	0.2643	
9	Spectrogram 1	1	11.513186803	11.982137472	1765.503	4451.320	0.4690	
10	Spectrogram 1	1	12.949881124	13.384726289	1765.503	4507.666	0.4348	
11	Spectrogram 1	1	14.054046788	14.527260645	1803.066	4282.283	0.4732	
12	Spectrogram 1	1	15.452524817	15.989686492	1765.503	4319.847	0.5372	
13	Spectrogram 1	1	16.876429574	17.330306685	1690.375	4357.411	0.4539	
14	Spectrogram 1	1	18.232123325	18.701073993	1690.375	4413.756	0.4690	
15	Spectrogram 1	1	19.963258424	20.459486600	1746.721	4413.756	0.4962	
16	Spectrogram 1	1	21.566217072	22.073536432	1765.503	4394.974	0.5073	
17	Spectrogram 1	1	23.079648775	23.552862631	1727.939	4225.937	0.4732	
18	Spectrogram 1	1	25.296506480	25.769720336	1784.284	4526.448	0.4732	
19	Spectrogram 1	1	26.566402298	27.073721657	1690.375	4432.538	0.5073	
20	Spectrogram 1	1	28.527468729	29.034788089	1746.721	4301.065	0.5073	
21	Spectrogram 1	1	30.138248915	30.750084231	1164.480	3887.862	0.6118	
22	Spectrogram 1	1	32.468081099	32.792083379	1502.555	2122.359	0.3240	
23	Spectrogram 1	1	33.764090219	34.002828741	2610.690	3042.675	0.2387	
24	Spectrogram 1	1	35.861989476	36.352256084	1239.608	3286.840	0.4903	
25	Spectrogram 1	1	37.654659986	38.170591634	1239.608	3230.494	0.5159	
26	Spectrogram 1	1	42.485691827	42.681798470	2685.818	3023.893	0.1961	
27	Spectrogram 1	1	42.784114979	43.039906253	2742.164	3343.186	0.2558	
28	Spectrogram 1	1	38.947245874	39.508091462	1228.285	3249.276	0.5608	
29	Spectrogram 1	1	43.943925741	44.437480594	1178.151	3249.276	0.4936	
30	Spectrogram 1	1	45.590646140	46.130327616	1178.151	3308.850	0.5397	
31	Spectrogram 1	1	58.175034344	58.654751211	1654.425	4286.465	0.4797	
32	Spectrogram 1	1	60.334055962	60.726132247	1804.828	3684.856	0.3921	
33	Spectrogram 1	1	61.404193588	61.911586429	1880.029	4286.465	0.5074	
34	Spectrogram 1	1	63.003681670	63.404983280	1654.425	3434.186	0.4013	
35	Spectrogram 1	1	63.958502743	64.364417015	1905.096	3434.186	0.4059	
36	Spectrogram 1	1	65.383815357	66.011137414	1629.358	4136.063	0.6273	
37	Spectrogram 1	1	67.369732436	67.849449303	1679.492	4336.599	0.4797	
38	Spectrogram 1	1	69.095048191	69.574765058	1729.626	4286.465	0.4797	
39	Spectrogram 1	1	70.917409951	71.120367087	2155.766	2732.308	0.2030	
40	Spectrogram 1	1	73.819716429	74.202567390	2256.034	4386.734	0.3829	
41	Spectrogram 1	1	74.912917366	75.392634234	2055.498	4136.063	0.4797	
42	Spectrogram 1	1	76.909798424	77.454092562	1980.297	4211.264	0.5443	
43	Spectrogram 1	1	78.333365739	78.716216701	2230.967	4085.929	0.3829	
44	Spectrogram 1	1	79.380440055	79.910896206	1779.760	4060.862	0.5305	
45	Spectrogram 1	1	80.743280897	81.186096466	1729.626	3684.856	0.4428	
46	Spectrogram 1	1	82.153772090	82.518172403	2356.303	3534.454	0.3644	
47	Spectrogram 1	1	83.348451596	83.791267166	2331.236	3559.521	0.4428	
48	Spectrogram 1	1	84.524680453	84.838341481	2306.169	2707.241	0.3137	
49	Spectrogram 1	1	85.583452432	85.726444960	2230.967	2657.107	0.1430	
50	Spectrogram 1	1	86.141584556	86.487534220	2381.370	3659.789	0.3459	
51	Spectrogram 1	1	87.339706546	87.630304264	3183.515	3609.655	0.2906	
52	Spectrogram 1	1	88.183248604	88.644514823	1955.230	3785.124	0.4613	
53	Spectrogram 1	1	90.467451704	90.970231883	1905.096	3910.460	0.5028	
54	Spectrogram 1	1	91.832799711	92.289453267	1378.688	2381.370	0.4567	
55	Spectrogram 1	1	93.211590681	93.871201373	1353.621	3734.990	0.6596	
56	Spectrogram 1	1	95.504083786	95.660914300	1529.090	1905.096	0.1568	
57	Spectrogram 1	1	96.281476728	96.854603727	1453.889	3760.057	0.5731	
58	Spectrogram 1	1	98.606258468	99.164390593	1453.889	3810.191	0.5581	
59	Spectrogram 1	1	100.483390408	101.110712465	1353.621	3734.990	0.6273	
60	Spectrogram 1	1	104.291302404	104.808502335	1478.956	3734.990	0.5172	
61	Spectrogram 1	1	105.822706249	106.316842870	1478.956	3684.856	0.4941	
62	Spectrogram 1	1	107.398491416	107.919722243	1504.023	3785.124	0.5212	
63	Spectrogram 1	1	109.140332422	109.772267141	1428.822	3609.655	0.6319	
64	Spectrogram 1	1	111.400897090	112.032831809	1303.487	3785.124	0.6319	
65	Spectrogram 1	1	113.052230152	113.624200262	1453.889	3584.588	0.5720	
66	Spectrogram 1	1	114.952645988	115.556904734	1428.822	3609.655	0.6043	
